Course,Description,Full,Instructor,Days,Time,Location,Capacity
C LIT    30C ,MAJ WORKS-EUROP LIT,Full,DELCHEVA M P,MTW,4:00pm - 5:50pm,LSB  1101,25 / 25
C LIT    31  ,ASIAN LITERATURES,Full,SUN X,MTWR,11:00am - 12:25pm,PHELP2536,29 / 27
C LIT    35  ,MAKING OF MOD WORLD,,FESTA E,MTWR,12:30pm - 1:55pm,BUCHN1934,22 / 25
C LIT    99  ,INDEPENDENT STUDY,,T B A,,,T B A,0 / 5
C LIT   113  ,TRAUMA/MEMORY/HIST,,TUDISCO J J,T R,5:00pm - 7:10pm,ARTS 1349,49 / 50
C LIT   128A ,CHILDREN'S LIT,,JAN K L,T R,2:00pm - 3:50pm,WEBB 1100,58 / 75
C LIT   128A ,,,ZAZZARINO M,R,4:00pm - 4:50pm,PHELP2514,23 / 25
C LIT   128A ,,,ZAZZARINO M,R,5:00pm - 5:50pm,PHELP2514,24 / 25
C LIT   128A ,,,ZAZZARINO M,R,6:00pm - 6:50pm,PHELP2514,11 / 25
C LIT   170  ,TRANSLATION,,LOVETT D W,M W,2:00pm - 4:10pm,HSSB 3202,10 / 20
C LIT   188  ,NARRATIVE STUDIES,,BELLOMI J J,TWR,9:30 am - 10:55am,GIRV 2108,29 / 30
C LIT   193  ,TRANSLATION STUDIES,Full,T B A,,,T B A,0 / 0
C LIT   196H ,HONORS RESEARCH,,T B A,,,T B A,0 / 5
C LIT   199  ,INDEPENDENT STUDIES,,T B A,,,T B A,0 / 5
CMPSC     4  ,CS BOOT CAMP,,KOC C K,TWR,9:30 am - 10:50am,BUCHN1930,53 / 90
CMPSC     4  ,,,VYAS A K,T,12:30pm - 1:50pm,PHELP3525,29 / 30
CMPSC     4  ,,,VYAS A K,T,2:00pm - 3:20pm,PHELP3525,14 / 30
CMPSC     4  ,,,ZHANG Z,T,3:30pm - 4:50pm,PHELP3525,10 / 30
CMPSC     8  ,INTRO TO COMP SCI,Closed,WANG R K,TWR,2:00pm - 3:20pm,BUCHN1910,152 / 151
CMPSC     8  ,,,"['BURK K T', 'ZHAO Y']",M,9:30 am - 10:50am,PHELP3525,20 / 30
CMPSC     8  ,,,"['BURK K T', 'ZHAO Y']",M,11:00am - 12:20pm,PHELP3525,20 / 30
CMPSC     8  ,,,"['BURK K T', 'NAMAZI M']",M,12:30pm - 1:50pm,PHELP3525,15 / 30
CMPSC     8  ,,,"['NAMAZI M', 'ZHAO Y']",M,2:00pm - 3:20pm,PHELP3525,24 / 30
CMPSC     8  ,,,"['NAMAZI M', 'LIU R']",M,3:30pm - 4:50pm,PHELP3525,23 / 30
CMPSC     8  ,,Full,"['WANG Y', 'LIU R']",T,9:30 am - 10:50am,PHELP3525,25 / 0
CMPSC     8  ,,Full,"['WANG Y', 'LIU R']",T,11:00am - 12:20pm,PHELP3525,25 / 0
CMPSC     8  ,INTRO TO COMP SCI,,ELSHERIF M E,TWR,9:30 am - 10:50am,NH   1006,118 / 120
CMPSC     8  ,,,ZHAO Y,R,11:00am - 12:20pm,PHELP3525,29 / 31
CMPSC     8  ,,Full,BURK K T,R,12:30pm - 1:50pm,PHELP3525,31 / 31
CMPSC     8  ,,Full,AMIRI M,R,2:00pm - 3:20pm,PHELP3525,30 / 30
CMPSC     8  ,,Full,DUMAN Z,R,3:30pm - 4:50pm,PHELP3525,28 / 28
CMPSC    16  ,PROBLEM SOLVING I,Closed,NICHOLS L H,T R,11:00am - 12:20pm,PHELP3526,60 / 70
CMPSC    16  ,,,YOUNG B J,W,10:30am - 11:45am,PHELP3525,19 / 23
CMPSC    16  ,,,YOUNG B J,W,12:00pm - 1:15pm,PHELP3525,21 / 24
CMPSC    16  ,,,YOUNG B J,W,1:30pm - 2:45pm,PHELP3525,20 / 24
CMPSC    24  ,PROBLEM SOLVING II,,MIRZA D,TWR,2:00pm - 3:15pm,CHEM 1171,46 / 90
CMPSC    24  ,,,"['LIU YIMENG', 'FENG B']",F,9:30 am - 10:45am,PHELP3525,21 / 30
CMPSC    24  ,,,"['FENG B', 'CHENG Z']",F,11:00am - 12:15pm,PHELP3525,16 / 30
CMPSC    24  ,,,"['LIU YIMENG', 'CHENG Z']",F,12:30pm - 1:45pm,PHELP3525,9 / 30
CMPSC    40  ,FOUNDATION COMP SCI,,DING Y,TWR,12:30pm - 1:20pm,PHELP3526,40 / 70
CMPSC    40  ,,,XU A,R,2:00pm - 2:50pm,PHELP3526,16 / 35
CMPSC    40  ,,,REDBERG R E,R,3:30pm - 4:20pm,PHELP3526,24 / 35
CMPSC    99  ,INDEPENDENT STUDIES,,T B A,,,T B A,0 / 5
CMPSC   130A ,DATA STRUCT ALGOR,Closed,COAKLEY C J,TWR,9:00 am - 10:50am,PHELP3526,36 / 40
CMPSC   130A ,,Closed,CHENG Z,W,11:00am - 12:15pm,PHELP3526,36 / 40
CMPSC   138  ,AUT & FORML LANG,Full,KOC C K,TWR,12:30pm - 1:50pm,PHELP2510,40 / 40
CMPSC   138  ,,Full,MASUDA S Y,W,2:00pm - 3:20pm,PHELP2510,40 / 40
CMPSC   190J ,SP TOP: GENERAL,Cancelled,CONRAD P T,,,T B A,0 / 10
CMPSC   190J ,,Cancelled,CONRAD P T,,,T B A,0 / 10
CMPSC   192  ,PROJECTS COMP SCI,Full,T B A,,,T B A,0 / 0
CMPSC   193  ,INTERN IN INDUSTRY,,T B A,,,T B A,0 / 35
CMPSC   196  ,UNDERGRAD RESEARCH,,T B A,,,T B A,0 / 5
CNCSP    99RA,IDPNDNT RSRCH ASST,,T B A,,,T B A,0 / 20
CNCSP   101  ,INTRO HELP SKILLS,,SCHELLER J M,MTWR,9:30 am - 10:50am,ED   1213,35 / 40
CNCSP   101  ,INTRO HELP SKILLS,Full,SCHELLER J M,MTWR,2:00pm - 3:20pm,ED   1215,40 / 40
CNCSP   102  ,RESEARCH APP PSYCH,,TAGAVI D M,MTWR,11:00am - 12:20pm,ED   1215,38 / 40
CNCSP   102  ,RESEARCH APP PSYCH,Full,SIMS G M,MTWR,3:30pm - 4:50pm,ED   1215,40 / 40
CNCSP   110  ,INTRO ED & VOC GUID,,SIMS G M,MTWR,2:00pm - 3:20pm,ED   1215,36 / 40
CNCSP   111  ,IDENTITY-PLURALISM,,MORGAN M L,MT R,9:30 am - 12:15pm,ED   1213,34 / 50
CNCSP   112  ,POSITIVE PSYCH,Full,BOYER M P,MTWR,11:00am - 12:20pm,ED   1215,41 / 40
CNCSP   114  ,PSYCH OF GENDER,Full,DEL CASTILLO,MTWR,12:30pm - 1:50pm,ED   1215,41 / 40
CNCSP   115  ,PEER-HELPING,,SMITH S R,MT R,9:30 am - 11:00am,GIRV 1004,90 / 140
CNCSP   115  ,,,SMITH S R,W F,9:30 am - 11:00am,GIRV 2115,9 / 20
CNCSP   115  ,,,SMITH S R,W F,9:30 am - 11:00am,GIRV 2112,2 / 20
CNCSP   115  ,,,SMITH S R,W F,9:30 am - 11:00am,GIRV 2124,14 / 20
CNCSP   115  ,,,SMITH S R,W F,9:30 am - 11:00am,HSSB 1210,16 / 20
CNCSP   115  ,,,SMITH S R,W F,9:30 am - 11:00am,HSSB 4202,16 / 20
CNCSP   115  ,,,SMITH S R,W F,9:30 am - 11:00am,HSSB 4201,16 / 20
CNCSP   115  ,,,SMITH S R,W F,9:30 am - 11:00am,HSSB 3202,17 / 20
CNCSP   197  ,TOPICS APP PSY,,CONSOLI A J,MTW,8:00 am - 10:50am,ED   1217,14 / 25
CNCSP   199  ,INDEPEN STUDENTS,,T B A,,,T B A,0 / 20
CNCSP   199RA,INDEP RES ASST,,T B A,,,T B A,0 / 20
DANCEW   36  ,HIST MODERN DANCE,Full,BENNAHUM D,,,ONLINE,190 / 185
DANCE    50  ,FUND CHOREOGRAPHY,,SMILEY B T,WRF,1:00pm - 2:50pm,HSSB 1135,3 / 15
DANCE    51  ,IMPROVISATION,,WHITED B S,MTW,1:00pm - 2:50pm,HSSB 1151,3 / 15
DANCE   147S ,BALLET III,,HUSTON V G,MTWRF,11:00am - 12:20pm,TD-W 1501,9 / 25
DANCE   147S ,BALLET III,,MOSELEY D,MTWRF,11:00am - 12:20pm,TD-W 1501,12 / 25
DANCE   149  ,DANCE WORKSHOP,,T B A,,,T B A,0 / 50
DANCE   151A ,CHOREOGRAPHY,,SMILEY B T,WRF,1:00pm - 2:50pm,HSSB 1135,1 / 8
DANCE   156S ,ADV MODERN DANCE,,SANCHEZ C A,MTWRF,9:30 am - 10:50am,HSSB 1135,7 / 25
DANCE   163  ,ADV IMPROV,Full,WHITED B S,MTW,1:00pm - 2:50pm,HSSB 1151,8 / 8
DANCE   199  ,INDEPENDENT STUDIES,,T B A,,,T B A,0 / 50
EARTH     2  ,PHYSICAL GEOLOGY,,BROWNE N C,TWR,9:30 am - 10:50am,WEBB 1025,20 / 25
EARTH     2  ,,,XIAO HAN,R,2:00pm - 4:50pm,PSB-S2724,20 / 25
EARTH     4  ,INTRO OCEANOGRAPHY,,BROWNE N C,TWR,11:00am - 12:20pm,WEBB 1025,25 / 27
EARTH     4  ,,,CHANG A S,T,2:00pm - 3:25pm,WEBB 1025,25 / 27
EARTH     7  ,DINOSAURS,Full,MCGRATH A J,TWR,9:30 am - 10:50am,PSB-S2712,44 / 44
EARTH     7  ,,,ELKIN D M,W,2:00pm - 3:25pm,PSB-S2725,20 / 27
EARTH     7  ,,,ELKIN D M,R,2:00pm - 3:25pm,PSB-S2725,24 / 27
EARTH    10  ,ANTARCTICA,,ERICKSON E A,TWR,11:00am - 12:20pm,PSB-S2712,36 / 40
EARTH    10  ,,,LETTS A W,T,3:00pm - 4:25pm,PSB-S2712,18 / 20
EARTH    10  ,,,LETTS A W,R,2:00pm - 3:25pm,PSB-S2712,18 / 20
EARTHW   20  ,GEOL CATASTROPHES,Full,ALESSIO P A,,,T B A,67 / 66
EARTHW   20  ,,Full,ADAMAITIS C,T,6:00pm - 8:00pm,ON   LINE,23 / 22
EARTHW   20  ,,Full,ADAMAITIS C,W,6:00pm - 8:00pm,ON   LINE,22 / 22
EARTHW   20  ,,Full,ADAMAITIS C,R,6:00pm - 8:00pm,ON   LINE,22 / 22
EARTH   123  ,THE SOLAR SYSTEM,,ADAMS J V,TWR,9:30 am - 10:50am,PSB-S2712,23 / 27
EARTH   123  ,,,MCGRATH A J,W,3:00pm - 4:25pm,PSB-S2712,23 / 27
EARTH   187  ,TEACHING PRACTICUM,,T B A,,,T B A,0 / 3
EARTH   192  ,INTERNSHIP GEOL SCI,,T B A,,,T B A,0 / 5
EARTH   196HA,SR HONORS THESIS,,T B A,,,T B A,0 / 5
EARTH   196HB,SR HONORS THESIS,,T B A,,,T B A,0 / 5
EARTH   196HC,SR HONORS THESIS,Full,T B A,,,T B A,0 / 0
EARTH   198  ,READINGS IN GEOL SC,,T B A,,,T B A,0 / 2
EARTH   199  ,INDEPENDENT STUDIES,,T B A,,,T B A,0 / 2
EARTH   199RA,IND. RESEARCH ASST.,,T B A,,,T B A,0 / 5
EACS      4B ,EAST ASIAN MODERN,Full,"['LEWALLEN A', 'SUN X', 'LEE L H']",MTWR,12:30pm - 1:50pm,BUCHN1930,100 / 100
EACS    199  ,INDEPENDENT STUDY,Full,T B A,,,T B A,0 / 0
EEMB      2  ,INTRO BIOLOGY II-EE,,"['EVEN T J', 'RICE M M']",MTWR,2:00pm - 3:20pm,CHEM 1179,254 / 352
EEMB W   22  ,BIO CONCEPT/CONTROV,,"['MORSE M L', 'BENNETT M K']",,,ONLINE,73 / 100
EEMB W   22  ,,,MORSE M L,,,ONLINE,26 / 34
EEMB W   22  ,,,MORSE M L,,,ONLINE,23 / 33
EEMB W   22  ,,,MORSE M L,,,ONLINE,24 / 33
EEMB     40  ,ECO INFECT DISEASE,,LATTO J G,MTW,12:30pm - 1:55pm,PHELP3505,44 / 60
EEMB     40  ,,,TITCOMB G C,W,8:00 am - 9:20 am,HSSB 2201,11 / 20
EEMB     40  ,,,TITCOMB G C,W,9:30 am - 10:50am,HSSB 2201,16 / 20
EEMB     40  ,,,TITCOMB G C,W,2:30pm - 3:50pm,HSSB 3201,17 / 20
EEMB     84  ,INTERNSHIP BIOLOGY,Full,T B A,,,T B A,0 / 0
EEMB    102  ,MACROEVOLUTION,Full,THOMASSON K M,TWR,2:00pm - 3:25pm,LSB  1001,60 / 60
EEMB    102  ,,Full,CABIN Z A,R,9:30 am - 10:50am,HSSB 3201,20 / 20
EEMB    102  ,,Full,CABIN Z A,R,11:00am - 12:20pm,HSSB 3201,20 / 20
EEMB    102  ,,Full,CABIN Z A,R,12:30pm - 1:50pm,HSSB 3201,20 / 20
EEMB    118  ,ENTOMOLOGY,,SELTMANN K,M W F,11:00am - 12:25pm,HARDR1013,13 / 22
EEMB    118  ,,,BENNETT M K,T,11:00am - 3:50pm,HARDR1013,6 / 11
EEMB    118  ,,,BENNETT M K,T,11:00am - 3:50pm,HARDR1013,7 / 11
EEMB    120  ,INTRO TO ECOLOGY,,YOUNG H S,WRF,11:00am - 12:25pm,LSB  1001,45 / 65
EEMB    120  ,,,ZILZ Z L,R,1:00pm - 2:20pm,HSSB 4201,11 / 20
EEMB    120  ,,,ZILZ Z L,R,3:00pm - 4:20pm,GIRV 1108,18 / 20
EEMB    120  ,,,ZILZ Z L,F,9:00 am - 10:20am,HSSB 2201,16 / 20
EEMB    127  ,PLANT BIO DIVERSITY,,PEACH K,M W F,2:00pm - 3:25pm,NH   1105,59 / 60
EEMB    127  ,,,COLON M R,F,9:00 am - 10:20am,PHELP1525,19 / 20
EEMB    127  ,,Full,COLON M R,F,10:30am - 11:50am,PHELP1525,20 / 20
EEMB    127  ,,Full,COLON M R,F,12:00pm - 1:20pm,PHELP1525,20 / 20
EEMB    146  ,BIOMETRY,,BARTKO L,MTWR,9:00 am - 10:05am,GIRV 1115,29 / 48
EEMB    146  ,,,COLON M R,R,11:00am - 1:50pm,PHELP1525,16 / 24
EEMB    146  ,,,COLON M R,R,2:00pm - 4:50pm,PHELP1525,13 / 24
EEMB    156  ,REPRODUCTION,,"['COLLINS P M', 'DESGENS-MARTI']",MTW,2:00pm - 3:25pm,LSB  1001,45 / 60
EEMB    156  ,,,DESGENS-MARTI,M,3:30pm - 4:50pm,HSSB 2201,14 / 20
EEMB    156  ,,,DESGENS-MARTI,T,12:30pm - 1:50pm,HSSB 2201,17 / 20
EEMB    156  ,,,DESGENS-MARTI,T,3:30pm - 4:50pm,GIRV 1108,14 / 20
EEMB    159  ,TROPICAL ECOLOGY,Full,EVEN T J,MTWR,11:00am - 12:05pm,PHELP3505,60 / 60
EEMB    159  ,,Full,FORNBERG J L,R,12:30pm - 1:50pm,PHELP1525,20 / 20
EEMB    159  ,,Full,FORNBERG J L,R,2:00pm - 3:20pm,PHELP1525,20 / 20
EEMB    159  ,,Full,FORNBERG J L,R,3:30pm - 4:50pm,PHELP1525,20 / 20
EEMB    170  ,MARINE-LAND INTERF,,"['PAGE H M', 'MILLER R J']",T R,8:00 am - 9:20 am,LSB  1101,15 / 24
EEMB    170  ,,,EMERY K A,T,3:00pm - 6:00pm,MLAB 1010,7 / 12
EEMB    170  ,,,,R,2:00pm - 6:00pm,MLAB 1010,7 / 12
EEMB    170  ,,,EMERY K A,T,3:00pm - 6:00pm,MLAB 1010,8 / 12
EEMB    170  ,,,,R,2:00pm - 6:00pm,MLAB 1010,8 / 12
EEMB    185  ,OCEANOGRAPHY FLD WK,,T B A,,,T B A,0 / 10
EEMB    194M ,REPRODUCT ECOL EVOL,,MAZER S J,,,T B A,7 / 20
EEMB    194M ,REPRODUCT ECOL EVOL,,MAZER S J,,,T B A,0 / 20
EEMB    199  ,INDEPENDENT STUDIES,,T B A,,,T B A,0 / 15
ECON      2  ,PRIN ECON-MACRO,,RUPERT P,MTW,12:30pm - 1:50pm,GIRV 2128,24 / 40
ECON      2  ,,,SZMURLO D A,R,12:30pm - 1:50pm,PHELP1448,17 / 20
ECON      2  ,,,SZMURLO D A,R,3:30pm - 4:50pm,PHELP1448,7 / 20
ECON      3A ,FINANCIAL ACCTG,,HARMON C J,MTW,8:00 am - 9:20 am,NH   1110,35 / 60
ECON      3A ,,,,R,8:00 am - 9:20 am,PHELP1440,23 / 30
ECON      3A ,,,,R,11:00am - 12:20pm,PHELP1445,12 / 30
ECON      3B ,FINANCIAL ACCTG,,HARMON C J,MTW,11:00am - 12:15pm,BUCHN1910,58 / 60
ECON      3B ,,Full,,T,2:00pm - 3:20pm,NH   1122,30 / 30
ECON      3B ,,,,T,3:30pm - 4:50pm,NH   1122,28 / 30
ECON     10A ,MICROECON THEORY,,HARTMAN J L,MTWR,9:30 am - 10:35am,BRDA 1610,206 / 214
ECON     10A ,,,,W,2:00pm - 3:20pm,BRDA 1610,206 / 214
ECON     10A ,,,WEI Z,T R,4:00pm - 4:50pm,387  1011,34 / 35
ECON     10A ,,,CROSS J R,T R,3:00pm - 3:50pm,GIRV 1115,34 / 35
ECON     10A ,,Full,CROSS J R,T R,2:00pm - 2:50pm,387  1015,35 / 35
ECON     10A ,,,WEI Z,T R,3:00pm - 3:50pm,NH   1111,33 / 35
ECON     10A ,,Full,JIANG X,T R,2:00pm - 2:50pm,387  1011,35 / 35
ECON     10A ,,Full,JIANG X,T R,3:00pm - 3:50pm,387  1011,35 / 35
ECON    101  ,MACROECON THEORY,,BIRCHENALL J,MTW,9:30 am - 10:50am,HFH  1104,111 / 116
ECON    101  ,,,KIM YONGWOOK,R,2:00pm - 3:20pm,PHELP1440,28 / 29
ECON    101  ,,Full,ZHANG G,R,12:30pm - 1:50pm,PHELP1440,29 / 29
ECON    101  ,,,ZHANG G,R,11:00am - 12:20pm,NH   1111,28 / 29
ECON    101  ,,,KIM YONGWOOK,R,3:30pm - 4:50pm,PHELP1445,26 / 29
ECON    114B ,ECONOMIC DEVELOP,Full,MARSHALL K,MTW,2:00pm - 3:20pm,PHELP1160,70 / 70
ECON    118  ,FIN ACCTG ANALYSIS,,FULKERSON S D,M W,2:00pm - 4:10pm,PSYCH1924,57 / 70
ECON    132A ,AUDITING,,FULKERSON S D,M W,11:00am - 1:10pm,NH   1110,33 / 60
ECON    134A ,FIN MANAGEMENT,,HARTMAN J L,TWR,11:00am - 12:25pm,PHELP1260,64 / 75
ECON    134A ,,Full,UHRIG R A,F,11:00am - 12:25pm,PHELP1440,26 / 25
ECON    134A ,,,UHRIG R A,F,9:30 am - 10:55am,PHELP1444,20 / 25
ECON    134A ,,,UHRIG R A,F,8:00 am - 9:25 am,PHELP1440,18 / 25
ECON    135  ,MONETARY ECONOMICS,Full,BOHN H,MT RF,9:30 am - 11:35am,GIRV 2129,40 / 40
ECON    136A ,INTERMED ACCOUNTING,,GROVER S R,M W,8:00 am - 10:10am,BRDA 1640,32 / 40
ECON    136A ,,Closed,,T,9:00 am - 10:20am,GIRV 2127,4 / 20
ECON    136A ,,,,T,11:00am - 12:20pm,387  1011,28 / 34
ECON    136B ,INTERMED ACCOUNTING,Full,HARMON C J,MTW,9:30 am - 10:50am,HSSB 1174,80 / 80
ECON    136C ,INTERMED ACCOUNTING,,GROVER S R,MTW,11:00am - 12:20pm,PHELP3505,39 / 60
ECON    137A ,MANAGERIAL ACCTG,,LOSTER D R,M W,9:30 am - 11:40am,PHELP1160,13 / 40
ECON    137A ,,,,T,12:30pm - 1:50pm,PHELP1445,13 / 20
ECON    137A ,,Closed,,T,11:00am - 12:20pm,PHELP1445,0 / 20
ECON    140A ,INTRO ECONOMETRICS,,STEIGERWALD D,MTW,2:00pm - 4:50pm,NH   1006,63 / 76
ECON    140A ,,,SHERRARD R W,R,9:30 am - 10:50am,GIRV 2124,16 / 19
ECON    140A ,,,,F,9:30 am - 10:50am,PHELP1530,16 / 19
ECON    140A ,,,SHERRARD R W,R,11:00am - 12:20pm,PHELP1448,18 / 19
ECON    140A ,,,,F,11:00am - 12:20pm,PHELP1530,18 / 19
ECON    140A ,,,JIN H,R,12:30pm - 1:50pm,GIRV 1116,17 / 19
ECON    140A ,,,,F,12:30pm - 1:50pm,PHELP1530,17 / 19
ECON    140A ,,,JIN H,R,2:00pm - 3:20pm,GIRV 2124,12 / 19
ECON    140A ,,,,F,2:00pm - 3:20pm,PHELP1530,12 / 19
ECON    181  ,INTRNTNL FINANCE,,MARSHALL K,MTW,3:30pm - 4:50pm,PHELP1160,69 / 70
ECON    193  ,ECON INTERNSHIP,,ROYER H N,,,T B A,0 / 12
ECON    199  ,INDEPENDENT STUDIES,,T B A,,,T B A,0 / 20
ECON    199RA,INDEP RESEARCH ASST,,T B A,,,T B A,0 / 20
ED      111  ,INTR CHILD/ADOL DEV,Full,T B A,MT R,11:00am - 12:20pm,ED   1217,50 / 50
ED      117M ,MOTIV/LEARN SUCCESS,,GALICIA M G,T R,2:00pm - 3:15pm,ED   1213,10 / 25
ED      117M ,MOTIV/LEARN SUCCESS,,GALICIA M G,T R,2:00pm - 3:15pm,ED   1213,24 / 25
ED      123  ,"CULTURE, DEV, EDUC",,CLAIRMONT III,M WR,12:30pm - 1:50pm,ED   1215,28 / 30
ED      123  ,"CULTURE, DEV, EDUC",Full,MEIER V C,MT R,2:00pm - 3:20pm,ED   1217,30 / 30
ED   W  125  ,SCHOOLING IN THE US,,DUQUE J D,,,ONLINE,95 / 100
ED      199  ,INDEPENDENT STUDIES,,T B A,,,T B A,0 / 20
ED      199RA,INDEP RESEARCH ASST,,T B A,,,T B A,0 / 20
ECE      15A ,FUND OF LOGIC DES,,ISUKAPALLI Y,TWR,9:30 am - 10:55am,PHELP1437,12 / 30
ECE      15A ,,,ISUKAPALLI Y,W,12:00pm - 1:55pm,PHELP1437,12 / 30
ECE     193  ,INTERN IN INDUSTRY,,T B A,,,T B A,0 / 30
ECE     196  ,UNDERGRAD RESEARCH,,T B A,,,T B A,0 / 20
ENGR W    3  ,INTRO TO PROG,,MOEHLIS J M,,,T B A,30 / 35
ENGR W    3  ,,Full,MATCHEN T D,,,T B A,13 / 13
ENGR W    3  ,,Full,MONGA B,,,T B A,17 / 16
ENGR    101  ,ETHICS IN ENGR,,"['FENRICH E B', 'MELCZER R S']",M W,2:00pm - 4:05pm,387  1011,32 / 40
ENGR    101  ,ETHICS IN ENGR,,"['FENRICH E B', 'MELCZER R S']",M W,2:00pm - 4:05pm,387  1011,31 / 40
ENGR    199  ,INDEPENDENT STUDIES,,T B A,,,T B A,0 / 5
ENGL     10  ,INTRO TO LIT STUDY,,COLLINS W J,MTWR,9:30 am - 10:55am,HSSB 1211,22 / 25
ENGL     10  ,INTRO TO LIT STUDY,,GERSON S M,MTWR,11:00am - 12:25pm,HSSB 1214,18 / 25
ENGL     10  ,INTRO TO LIT STUDY,,NORRIS L F,MTWR,12:30pm - 1:55pm,HSSB 1206,23 / 25
ENGL     10  ,INTRO TO LIT STUDY,,ZISA J E,MTWR,3:30pm - 4:55pm,HSSB 1207,21 / 25
ENGL     10  ,INTRO TO LIT STUDY,,AHDIFARD U,MTWR,9:30 am - 10:55am,HSSB 1206,19 / 23
ENGL     10  ,INTRO TO LIT STUDY,Full,MESSNER M S,MTWR,11:00am - 12:25pm,HSSB 1206,23 / 23
ENGL     10  ,INTRO TO LIT STUDY,,BADLEY III D,MTWR,12:30pm - 1:55pm,HSSB 1207,20 / 23
ENGL     10  ,INTRO TO LIT STUDY,,RAYCHAWDHURI,MTWR,2:00pm - 3:25pm,HSSB 1210,20 / 23
ENGL     11  ,LIT & ITS USES,Cancelled,HILTNER K C,,,T B A,0 / 28
ENGL     11  ,,Cancelled,,,,T B A,0 / 0
ENGL     15  ,SHAKESPEARE,,DONELAN J H,MTWR,9:30 am - 10:55am,GIRV 2112,29 / 38
ENGL     15  ,SHAKESPEARE,Full,ADKISON K M,MTWR,3:30pm - 4:55pm,GIRV 1116,29 / 28
ENGL     50  ,INT US MINRTY LIT,,COOK J N,MTWR,12:30pm - 1:55pm,387  1015,36 / 38
ENGL     50  ,INT US MINRTY LIT,,URCAREGUI M J,MTWR,5:00pm - 6:25pm,GIRV 2129,24 / 28
ENGL    101  ,ENGL LIT MED-1650,,KING J L,MTWR,11:00am - 12:05pm,387  1011,34 / 37
ENGL    102  ,ENG & AM 1650-1789,Closed,PAIELLA G S,MTWR,9:30 am - 10:35am,GIRV 1116,35 / 38
ENGL    103B ,BRIT LIT 1789-1900,,DONNELLY B,MTWR,2:00pm - 3:05pm,GIRV 1116,30 / 38
ENGL    104A ,AMER LIT 1900-PRES,,SHOEMAKER T G,MTWR,3:30pm - 4:35pm,GIRV 2129,26 / 38
ENGL    122CC,RHET CLIMATE CHANGE,,HILTNER K C,MTWR,9:30 am - 10:35am,387  1015,16 / 19
ENGL    122RW,READING THE WORLD,,HILTNER K C,MTWR,11:00am - 12:05pm,GIRV 1116,37 / 38
ENGL    122UE,CULTURAL REPRESENT,,BOSCAGLI M,MTWR,11:00am - 12:05pm,SH   2617,17 / 38
ENGL    124  ,MODERN SHORT STORY,,DUFFY A E,MTWR,12:30pm - 1:20pm,387  1015,36 / 38
ENGL    170SB,STORY AND THE BRAIN,Full,PETTERSSON PE,MTWR,2:00pm - 3:05pm,HSSB 2251,25 / 25
ENGL    184  ,MODERN EUROPEAN LIT,,BOSCAGLI M,MTWR,12:30pm - 1:35pm,SH   2617,25 / 38
ENGL    189  ,CONTEMPORARY LIT,,DUFFY A E,MTWR,9:30 am - 10:35am,GIRV 1116,28 / 38
ENGL    190CA,COGN APPROACHES,,TYBJERG D M,MTWR,11:00am - 12:05pm,HSSB 2251,16 / 25
ENGL    192  ,SCIENCE FICTION,Cancelled,DONNELLY B,,,T B A,0 / 38
ENGL    192  ,SCIENCE FICTION,Cancelled,LEACH R K,,,T B A,0 / 38
ENGL    192DF,SCI FI: DYSTOPIAN,Full,DONNELLY B,MTWR,3:30pm - 4:35pm,GIRV 2112,39 / 38
ENGL    192SF,SCIENCE FICTION,Full,LEACH R K,MTWR,12:30pm - 1:35pm,GIRV 1119,38 / 38
ENGL    193  ,DETECTIVE FICTION,,RUSSELL J S,MTWR,12:30pm - 1:35pm,387  1011,33 / 38
ENGL    193  ,DETECTIVE FICTION,Full,WEIDNER C C,MTWR,3:00pm - 4:05pm,387  1015,38 / 38
ENGL    195I ,INTERN,,T B A,,,T B A,0 / 15
ENGL    196  ,HONORS ENGLISH,,T B A,,,T B A,0 / 20
ENV S     1  ,INTRO ENVIR STUDIES,,MARTIN J A,MT R,12:30pm - 1:55pm,BRDA 1640,63 / 75
ENV S     1  ,,,PASCHOS T P,W,12:30pm - 1:55pm,BRDA 1640,63 / 75
ENV S     2  ,INTRO ENV SCIENCE,Full,MORET S L,MTW,3:30pm - 4:55pm,HSSB 1173,70 / 50
ENV S     2  ,,Full,GRIMES N G,R,3:30pm - 4:55pm,HSSB 1173,70 / 50
ENV S     3  ,INTRO SOC&CULT ENV,Full,GRAVES G R,MTWR,12:30pm - 1:45pm,TD-W 1701,125 / 125
ENV S     3  ,,Full,VOISIN GEORGE,T,2:00pm - 3:00pm,HSSB 1231,20 / 20
ENV S     3  ,,Full,VOISIN GEORGE,T,3:00pm - 4:00pm,HSSB 1231,20 / 20
ENV S     3  ,,Full,VOISIN GEORGE,T,4:00pm - 5:00pm,HSSB 1223,23 / 20
ENV S     3  ,,Full,INGULSRUD L G,W,9:00 am - 10:00am,HSSB 1224,22 / 20
ENV S     3  ,,Full,INGULSRUD L G,W,10:00am - 11:00am,HSSB 1224,20 / 20
ENV S     3  ,,Full,INGULSRUD L G,W,11:00am - 12:00pm,HSSB 1211,20 / 20
ENV S    99  ,INTRO TO RESEARCH,Full,T B A,,,T B A,0 / 0
ENV S   100  ,ENVIRONMENTAL ECOL,Full,TYLER C M,MTWR,11:00am - 12:20pm,WEBB 1100,71 / 70
