Course,Description,Full,Instructor,Days,Time,Location,Capacity
ARTHI     6DS,,Full,VAN DOORNE T,W,9:30 am - 10:40am,ARTS 2324,25 / 25
ARTHI     6DS,,,VAN DOORNE T,W,11:00am - 12:10pm,ARTS 2324,24 / 25
ARTHI     6L ,HISTORY OF GAMES,Full,WHITE J S,MTWR,8:00 am - 9:20 am,ARTS 1341,50 / 50
ARTHI     6L ,,Full,SHEARD M,T,11:00am - 12:10pm,ARTS 2324,25 / 25
ARTHI     6L ,,Full,SHEARD M,T,12:30pm - 1:40pm,ARTS 2324,25 / 25
ARTHI   107C ,KUNST: FIRST MUSEUM,,FAUST M R,MTWR,3:30pm - 4:50pm,ARTS 1341,31 / 35
ARTHI   107D ,EARLY-MODERN GAMES,Closed,FAUST M R,MTWR,3:30pm - 4:50pm,ARTS 1341,20 / 35
ARTHI   136I ,CITY IN HISTORY,Closed,CHATTOPADHYAY,MTWR,11:00am - 12:10pm,ARTS 1341,25 / 35
ARTHI   141F ,ADC INTERNSHIP,,ROBERTSON E B,,,T B A,1 / 5
ARTHI   148A ,CONTEMP ART HISTORY,Closed,LIMB M K,MTWR,5:00pm - 6:20pm,ARTS 1341,29 / 35
ARTHI   199  ,INDEPENDENT STUDIES,,T B A,,,T B A,0 / 10
AS AM     1  ,INTRO AS AM HISTORY,Full,ZULUETA B C,MTW,11:00am - 12:25pm,ARTS 1356,41 / 40
AS AM     1  ,,Full,HARRIS S Y,R,12:00pm - 12:50pm,HSSB 1236,21 / 20
AS AM     1  ,,Full,HARRIS S Y,R,1:00pm - 1:50pm,HSSB 1236,20 / 20
AS AM     2  ,AMERICAN MIGRATION,Closed,ZULUETA B C,MTW,11:00am - 12:25pm,ARTS 1356,43 / 50
AS AM     2  ,,,DESLIPPE P R,W,1:00pm - 1:50pm,HSSB 1215,22 / 25
AS AM     2  ,,,DESLIPPE P R,W,2:00pm - 2:50pm,HSSB 1215,21 / 25
AS AM     5  ,INTRO ASIAN AM LIT,,HOESLY D,MTW,2:00pm - 3:25pm,ARTS 1349,46 / 50
AS AM     5  ,,,HUR D,R,12:00pm - 12:50pm,HSSB 1215,22 / 25
AS AM     5  ,,,HUR D,R,1:00pm - 1:50pm,HSSB 1215,24 / 25
AS AM     5  ,INTRO ASIAN AM LIT,,MACIAS H C,MTW,2:00pm - 3:25pm,SH   1430,39 / 50
AS AM     5  ,,,HARRIS S Y,R,10:00am - 10:50am,HSSB 1236,19 / 25
AS AM     5  ,,,HARRIS S Y,R,11:00am - 11:50am,HSSB 1236,20 / 25
AS AM   118  ,AS AM POP CULTURE,Full,T B A,MTW,12:30pm - 1:55pm,GIRV 2108,27 / 25
AS AM   136  ,ASIAN AM FAMILIES,,STOHLER J E,MTW,9:30 am - 10:55am,HSSB 1207,18 / 25
AS AM   161  ,ASIAN AM RELIGION,,HOESLY D,MTW,9:30 am - 10:55am,HSSB 1206,21 / 25
ASTRO     1  ,BASIC ASTRONOMY,Cancelled,T B A,,,T B A,1 / 85
ASTRO     1  ,,Cancelled,,,,T B A,1 / 43
ASTRO     1  ,,Cancelled,,,,T B A,0 / 42
BMSE    199  ,INDEPENDENT STUDIES,,T B A,,,T B A,0 / 10
BL ST     1  ,INTRO AF-AM STUDIES,Full,STEWART J C,MTW,2:00pm - 3:20pm,BIOEN1001,97 / 97
BL ST     1  ,,Full,,T,11:00am - 12:20pm,SH   3707,25 / 25
BL ST     1  ,,Full,,W,11:00am - 12:20pm,SH   3707,25 / 25
BL ST     1  ,,Full,,T,9:30 am - 10:50am,SH   3707,25 / 25
BL ST     1  ,,,,W,9:30 am - 10:50am,SH   3707,22 / 25
BL ST     3  ,INTRO AFR STUDIES,Full,AKUDINOBI J,MTW,9:30 am - 10:55am,ARTS 1349,40 / 40
BL ST     3  ,,Full,,T,11:00am - 12:20pm,SH   1609,20 / 20
BL ST     3  ,,Full,,W,11:00am - 12:20pm,SH   1609,20 / 20
BL ST    99  ,INDEPENDENT STUDIES,,T B A,,,T B A,0 / 5
BL ST    99RA,INDEP RESEARCH ASST,,T B A,,,T B A,0 / 5
BL ST   100  ,AFRICA/U. S. POLICY,,AKUDINOBI J,MTW,11:00am - 12:20pm,BUCHN1940,57 / 65
BL ST   122  ,EDUC BLACK CHILD,,GALICIA M G,MTW,3:30pm - 4:50pm,PHELP1425,34 / 65
BL ST   126  ,COMP BLK LIT,Closed,AKUDINOBI J,MTW,9:30 am - 10:55am,NH   1105,63 / 65
BL ST   199  ,INDEPENDENT STUDIES,,T B A,,,T B A,0 / 5
BL ST   199RA,INDEP RESEARCH ASST,,T B A,,,T B A,0 / 5
CH E      5  ,INTRO CHEM ENG DES,,CHADA J P,MTWRF,11:00am - 11:55am,ENGR21519,8 / 30
CH E     99  ,INTRO. TO RESEARCH,,T B A,,,T B A,0 / 10
CH E    193  ,INTERN IN INDUSTRY,,T B A,,,T B A,0 / 5
CH E    196  ,UNDERGRAD RESEARCH,Full,T B A,,,T B A,0 / 0
CH E    198  ,INDEPENDENT STUDIES,,T B A,,,T B A,0 / 5
CHEM      1B ,GENERAL CHEMISTRY,,JOSEPH C A,M W F,10:00am - 10:50am,CHEM 1171,87 / 113
CHEM      1BL,GEN CHEMISTRY LAB,Closed,"['MATTEJAT M R', 'FELDWINN D L']",M,1:00pm - 4:50pm,PSB-N2637,10 / 14
CHEM      1BL,GEN CHEMISTRY LAB,Closed,"['HUANG SUNZEYU', 'FELDWINN D L']",W,1:00pm - 4:50pm,PSB-N2637,14 / 14
CHEM      1BL,GEN CHEMISTRY LAB,Closed,"['MATTEJAT M R', 'FELDWINN D L']",T,1:00pm - 4:50pm,PSB-N2637,9 / 14
CHEM      1BL,GEN CHEMISTRY LAB,Closed,"['HUANG SUNZEYU', 'FELDWINN D L']",T,1:00pm - 4:50pm,PSB-N2653,10 / 14
CHEM      1C ,GEN CHEM,,KUNKEL B M,M W F,9:00 am - 9:50 am,CHEM 1179,100 / 160
CHEM      1CL,GEN CHEMISTRY LAB,Closed,"['MCRAE S D', 'VAN KOPPEN P']",M,1:00pm - 4:50pm,PSB-N2638,14 / 12
CHEM      1CL,GEN CHEMISTRY LAB,Closed,"['HEINRICH S E', 'VAN KOPPEN P']",M,1:00pm - 4:50pm,PSB-N2654,12 / 14
